VehicleID,LicenseNumber,VehicleType
A090VWYI17UF23RA,JS765823,Commercial Auto
Y74WL54C2P13OMSX,XQ603246,Commercial Truck
VLH1L6W5F8908XWC,DM682983,Commercial Auto
PTZQK8QJLVW0Y13H,UJ848882,Personal Auto
N048Y1KRJ978EDX3,KX924670,Personal Truck
VFIOY27CXBCL4SAK,HZ534178,Commercial Auto
OHEINYEIQFZ6Z9QI,EB426545,Commercial Truck
0HYF1KJ90H9S310E,BO421732,Personal Truck
M7KQ06P7KB145FHM,BT635567,Commercial Auto
V2J4HO8URV68BCFN,JD818843,Personal Auto
SO1UC1HDQV9V4HKY,DB634356,Commercial Truck
KUFG6I30ZZ8A4PYF,LP952821,Commercial Truck
42WMG7MPVYMLWQ2O,XU471713,Commercial Auto
WWDXEUY49R8X04BQ,EB509621,Commercial Truck
49JFO84V1MWJA5EW,IB485058,Personal Truck
46W5EEOHY794EFNQ,LG442192,Commercial Truck
ITRK30IJ72NMROE3,RL968139,Commercial Auto
W5DX6RY8QCMOKVLB,XC158762,Personal Auto
3G4ZKMOXAVR4T3CT,NN157448,Personal Truck
UQ67P5HGDCXTW685,PK675745,Personal Auto
2M4DSTT9ZF9Q5M79,LG347836,Personal Truck
9RWV9BMGLI6H5W92,MD585683,Personal Truck
PPOW1EJKY69CA1E0,OS592911,Personal Auto
4P6DIRIH50E846S4,YL231356,Personal Truck
7KL9Z44DUVVB78K4,LP419864,Personal Auto
F5K5L5HSJ7O6PUHP,IQ624502,Commercial Auto
NEMK2UNFU9YI9EC4,YP144482,Commercial Truck
6UXM2M2KA7BM8X59,WX245115,Personal Truck
QMES761CO54S56Q6,FF919669,Commercial Auto
YC63CIX6IXFI5OTF,BK342228,Personal Auto
OUCC4N4KTVU8Y5L0,XW413298,Commercial Truck
S4P7GC7DDHAOVG13,BP364345,Personal Auto
I91REOXSDVNL3MQ9,HK756757,Commercial Auto
8A2UDI3DLLGIE6LA,XK587591,Personal Truck
PPH5M9I3OREA6YHJ,OH823577,Personal Truck
5I4L4A9GEWSJS885,RQ323256,Commercial Truck
YO21J3EE49BS5N7Z,XZ608596,Personal Truck
AJR0XV885I75XND1,CX421436,Commercial Truck
XJG26WJGI4DU6G1U,YO777814,Commercial Auto
L4FO0FQ5DFM9G7WU,HH778461,Commercial Truck
BMYZZ2AQALQOLIKY,VW917688,Commercial Truck
G5C0FM789RFPY2VI,TK987812,Personal Truck
A7GM7XQQVXKYUS1I,SM792364,Commercial Auto
FIHGM5S2SOEQANUR,DR256625,Personal Truck
2SHN1LQK37L9PMI6,TL812713,Commercial Truck
25D8EXGFECYXL5VR,BP459322,Personal Auto
9Y04RBKHV49VE1EN,HV125387,Personal Truck
P9IF5OD1HCS6XBLS,ER314277,Commercial Truck
A3X181EX55SOAW34,HK186948,Personal Truck
9W5J1KGO0PQX4ACW,GN771578,Personal Truck
CT51MWOYU151H58P,BU064838,Personal Auto
Y0T285DFEQKDMOEA,BL067344,Commercial Auto
793LMJYDTX3RTPS5,CR698901,Commercial Auto
HKL9OL8S4MC5EAWF,CT001751,Personal Auto
LUKWP2Q1Q1WLCQPB,LS328482,Personal Auto
4N5SDKOGG3VS02ZK,TA942711,Personal Truck
8QV67I3DNWUFNYEH,PX735262,Personal Auto
75HJ7SAOPG91M87K,YO255188,Commercial Truck
GG8080TOML7NK0DY,BB428168,Commercial Truck
5ABJST2CZ29DHP3A,OP873165,Personal Truck
Z9Y8K2M0LI754ZGD,NS473246,Commercial Truck
JWO3UT4N7VTS9WX0,HQ007281,Personal Truck
S8BJ4P1IPINQUCWA,UO549625,Commercial Truck
5ZS7YA85M6G1W3E6,CY051873,Commercial Auto
INUOPG6JU7T07WUQ,XN923065,Commercial Truck
7TBYFWA0ZZMW2VUM,JY072669,Personal Truck
XT0KMIJQ0W8F89CC,WD871867,Personal Truck
6KG4OV0HA8WI5UW7,VW318154,Personal Truck
