SSN,ViolationID,PoliceID
550-68-7077,VC1360,1ULILB2JC4
349-04-0339,VC1370,GXHPY90RXM
836-49-0976,VC1380,AB2F72GVY9
139-46-5135,VC1390,QF4G86SUS1
294-35-2337,VC1400,OMW260HEXO
625-87-6979,VC1410,9SCXOS0D4C
145-52-2710,VC1420,G91BZCHHO9
196-71-8300,VC1430,B8X9GNTB9W
369-82-3924,VC1440,7L3JDNFZS0
618-10-1649,VC1450,54N1WTDGGM
526-06-4698,VC1460,EVVQCQSLS9
792-42-2964,VC1470,P97186QPVV
368-48-6147,VC1480,NP2BYMG1B4
501-44-9414,VC1490,GKRY7RS65X
379-90-6406,VC1500,0ZIL80ZUF6
255-81-7107,VC1510,V4VEJZVQYT
365-01-3046,VC1520,O9CTKKFO4Y
464-49-6978,VC1530,40A3ZYU418
589-80-6637,VC1540,I4D7BQW3Z1
203-48-5665,VC1550,FISEFH9QWK
367-37-8122,VC1560,ZOJI8TMTU9
462-32-4236,VC1570,TKW0R9J538
709-23-1531,VC1580,PUJ9223KZ6
477-08-3180,VC1590,9JS8LOK3HU
762-12-2967,VC1600,P26OGEU28O
616-30-2084,VC1610,54N1WTDGGM
294-90-8171,VC1620,3L3H50GUUC
379-10-1620,VC1630,EG1YPVMQ3Q
424-31-6907,VC1640,PX6RD48VKO
796-02-9084,VC1650,EVVQCQSLS9
834-44-6551,VC1660,QF4G86SUS1
360-41-1716,VC1670,3MS3O4L6O4
853-36-9887,VC1680,29GQIK96UL
460-14-6645,VC1690,4B1432B6K2
217-31-2591,VC1700,U7MTJVBX0E
528-36-6139,VC1710,RJQMPFU263
220-35-4257,VC1720,K4907A8AL8
835-69-9385,VC1730,D532FKNVW8
248-45-4263,VC1740,B4M2GI9WS0
862-13-2025,VC1750,6S8R58RFFB
523-45-7635,VC1760,XYY6QKRM16
